Header	Descrption	Note
prot_hit_num	Mascot ordinal number of the protein hit (or protein family when grouping enabled)	
prot_family_member	Mascot ordinal number of the protein family member when grouping enabled	
prot_acc	Protein accession string	"MaxQuant, the leading entry in `Proteins`."
prot_desc	Protein description taken from Fasta title line	
prot_score	Mascot protein score	
prot_mass	Protein mass	
prot_matches	Mascot count of PSMs	No data joining taken into account.
prot_matches_sig	Mascot count of PSMs that have significant scores under a proposed protein	v.s.
prot_sequences	Mascot count of distinct sequences	v.s.
prot_sequences_sig	Mascot count of distinct sequences that have significant scores under a proposed protein	v.s.
prot_n_psm	Count of significant PSMs in quantitation under a proposed protein	By each TMT experiment and LC/MS series; the counts exclude entries that are void in reporter-ion intensity across all channels or filtered by users.
prot_n_pep	Count of significant peptide sequences in quantitation under a proposed protein	"v.s.; at `group_pep_by = pep_seq_mod`, the same peptide with different variable modifications will be counted as different sequences."
prot_len	The number of amino acid residues under a proposed protein	
prot_pi	Mascot calculation of protein isoelectric point	
prot_tax_str	Protein taxonomy as string	
prot_tax_id	Protein taxonomy as Tax ID	
prot_seq	Protein sequence in 1 letter code	
prot_empai	Mascot empirical protein abundance index	
prot_icover	Integerized protein sequence coverage by counts of tryptic peptides	Number of observed divided by number of possibles.
prot_cover	Protein sequence coverage by amino acid residues	Calculated from the union of individual data sources.
pep_query	Mascot ordinal number of query after sorting by Mr	
pep_rank	Mascot peptide sequence match (PSM) rank. If two PSMs have same score they have the same rank.	
pep_n_psm	Counts of significant PSMs in quantitation under a proposed peptide	See also `prot_n_psm`.
pep_isbold	"Mascot: if grouping enabled, then a significant PSM. Otherwise, indicates this is the highest scoring protein that contains a match to this query."	
pep_isunique	Peptide sequence is unique or not.	"Floating indicator at the levels of protein groups, protein IDs or none, according to  `normPSM(pep_unique_by = ...)`. Spectrum Mill: NA."
pep_literal_unique	Peptide sequence is unique to hit or not.	Mascot: need enabled same-set and sub-set proteins during PSM exports.
pep_razor_unique	Peptide sequence is unique to group or not.	v.s.
