Utility	Vararg_	df	Vararg2_	df2
normPSM	filter_	"Mascot, F[...].csv; MaxQuant, msms[...].txt; SM, PSMexport[...].ssv"	NA	NA
PSM2Pep	NA	NA	NA	NA
mergePep	filter_	TMTset1_LCMSinj1_Peptide_N.txt	NA	NA
standPep	slice_	Peptide.txt	NA	NA
Pep2Prn	filter_	Peptide.txt	NA	NA
standPrn	slice_	Protein.txt	NA	NA
pepHist	filter_	Peptide.txt	NA	NA
prnHist	filter_	Protein.txt	NA	NA
pepSig	filter_	Peptide[_impNA].txt	NA	NA
prnSig	filter_	Protein[_impNA].txt	NA	NA
pepMDS	filter_	Peptide[_impNA][_pVal].txt	NA	NA
prnMDS	filter_	Protein[_impNA][_pVal].txt	NA	NA
pepPCA	filter_	Peptide[_impNA][_pVal].txt	NA	NA
prnPCA	filter_	Protein[_impNA][_pVal].txt	NA	NA
pepEucDist	filter_	Peptide[_impNA][_pVal].txt	NA	NA
prnEucDist	filter_	Protein[_impNA][_pVal].txt	NA	NA
pepCorr_logFC	filter_	Peptide[_impNA][_pVal].txt	NA	NA
prnCorr_logFC	filter_	Protein[_impNA][_pVal].txt	NA	NA
pepHM	"filter_, arrange_"	Peptide[_impNA][_pVal].txt	NA	NA
prnHM	"filter_, arrange_"	Protein[_impNA][_pVal].txt	NA	NA
anal_prnTrend	filter_	Protein[_impNA][_pVal].txt	NA	NA
plot_prnTrend	NA	NA	filter2_	[...]Protein_Trend_{NZ}[_impNA][...].txt
anal_pepNMF	filter_	Peptide[_impNA][_pVal].txt	NA	NA
anal_prnNMF	filter_	Protein[_impNA][_pVal].txt	NA	NA
plot_pepNMFCon	NA	NA	filter2_	[...]Peptide_NMF[...]_consensus.txt
plot_prnNMFCon	NA	NA	filter2_	[...]Protein_NMF[...]_consensus.txt
plot_pepNMFCoef	NA	NA	filter2_	[...]Peptide_NMF[...]_coef.txt
plot_prnNMFCoef	NA	NA	filter2_	[...]Protein_NMF[...]_coef.txt
plot_metaNMF	"filter_, arrange_"	Protein[_impNA][_pVal].txt	NA	NA
prnGSPA	filter_	Protein[_impNA]_pVals.txt	NA	NA
prnGSPAHM	NA	NA	filter2_	[...]Protein_GSPA_{NZ}[_impNA]_essmap.txt
gspaMap	filter_	Protein[_impNA]_pVal.txt	filter2_	[...]Protein_GSPA_{NZ}[_impNA].txt
anal_prnString	filter_	Protein[_impNA][_pVals].txt	NA	NA
